Character,Radical,CharFreq,Radicals,Qwen_Token_IDs
卦,卜,15.0765,['卜'],[103527]
卢,卜,20.2765,['卜'],[104654]
卤,卜,5.8469,['卜'],[112416]
卞,卜,1.3778,['卜'],[119548]
占,卜,54.3901,['卜'],[99571]
卡,卜,331.8074,['卜'],[99603]
茶,艹,202.9235,['艹'],[100019]
若,艹,122.7309,['艹'],[100155]
薪,艹,25.5753,['艹'],[100311]
蓝,艹,106.2272,['艹'],[100400]
董,艹,26.2617,['艹'],[100453]
菌,艹,20.3901,['艹'],[100517]
葡,艹,30.8741,['艹'],[100590]
茫,艹,41.7531,['艹'],[100619]
荐,艹,418.0741,['艹'],[100670]
莫,艹,135.4074,['艹'],[100707]
蒙,艹,65.7185,['艹'],[100750]
莱,艹,76.6716,['艹'],[100809]
菲,艹,73.4321,['艹'],[100821]
萨,艹,146.1975,['艹'],[100841]
荷,艹,36.1185,['艹'],[100905]
萄,艹,29.4469,['艹'],[100947]
蓄,艹,12.5086,['艹'],[100979]
蕴,艹,3.679,['艹'],[101006]
苗,艹,15.1111,['艹'],[101233]
薄,艹,68.9531,['艹'],[101264]
荒,艹,43.7481,['艹'],[101293]
蔬,艹,25.7333,['艹'],[101307]
荡,艹,44.4938,['艹'],[101456]
蒸,艹,29.1358,['艹'],[101494]
莞,艹,14.0494,['艹'],[101541]
芝,艹,39.9062,['艹'],[101586]
菩,艹,16.3901,['艹'],[101670]
芒,艹,33.9556,['艹'],[101705]
茅,艹,13.2741,['艹'],[101708]
蓬,艹,8.1136,['艹'],[101761]
萝,艹,70.484,['艹'],[101799]
茄,艹,34.2272,['艹'],[101833]
菇,艹,24.2074,['艹'],[101835]
蔽,艹,8.484,['艹'],[101839]
艾,艹,67.9358,['艹'],[102071]
苹,艹,75.6444,['艹'],[102081]
芳,艹,36.5037,['艹'],[102261]
莲,艹,28.9728,['艹'],[102341]
芯,艹,9.6988,['艹'],[102491]
蒋,艹,6.5728,['艹'],[102532]
茂,艹,10.237,['艹'],[102551]
苍,艹,37.4519,['艹'],[102635]
芬,艹,26.9728,['艹'],[102727]
葛,艹,42.1975,['艹'],[102826]
葱,艹,40.7309,['艹'],[102902]
菊,艹,37.0617,['艹'],[103155]
荆,艹,8.242,['艹'],[103171]
蓉,艹,9.6494,['艹'],[103187]
蒜,艹,22.6963,['艹'],[103306]
蔓,艹,6.6469,['艹'],[103361]
蔚,艹,4.1679,['艹'],[103442]
菱,艹,4.0741,['艹'],[103445]
葫,艹,9.2346,['艹'],[103461]
芦,艹,14.6914,['艹'],[103462]
薯,艹,27.7778,['艹'],[103532]
莓,艹,29.2346,['艹'],[103551]
菏,艹,0.563,['艹'],[103561]
