Character,Radical,CharFreq,Radicals
汞,水,0.9086,"['氺', '水', '氵']"
琪,王,15.5901,"['王', '玉']"
撇,扌,6.563,"['扌', '手']"
续,纟,513.0568,"['糸', '纟']"
庙,广,25.4519,['广']
播,扌,185.6296,"['扌', '手']"
革,革,55.9901,['革']
乍,丿,3.8222,"['丿', '乀', '乁']"
字,子,458.5333,['子']
鬣,髟,0.158,['髟']
正,止,1244.7901,['止']
吾,口,55.1753,"['囗', '口']"
颐,页,2.4741,"['頁', '页']"
猕,犭,5.3728,"['犬', '犭']"
狼,犭,81.0025,"['犬', '犭']"
闸,门,5.0321,"['門', '门']"
妳,女,24.9284,['女']
哨,口,6.163,"['囗', '口']"
谎,讠,68.7012,"['讠', '言']"
柿,木,14.1728,['木']
岗,山,25.6938,['山']
准,冫,425.5012,['冫']
昧,日,19.042,['日']
提,扌,425.4074,"['扌', '手']"
屹,山,1.4321,['山']
入,入,662.6519,['入']
透,辶,99.1407,['辶']
饮,饣,111.6148,"['飠', '饣', '食']"
炬,火,4.6815,"['火', '灬']"
绳,纟,18.9877,"['糸', '纟']"
掺,扌,4.5432,"['扌', '手']"
渔,氵,12.9975,"['氺', '水', '氵']"
韦,韦,23.521,"['韋', '韦']"
苍,艹,37.4519,['艹']
围,囗,274.558,"['囗', '口']"
压,厂,185.516,['厂']
缕,纟,6.7012,"['糸', '纟']"
住,亻,667.8864,"['人', '亻']"
豺,豸,0.5679,['豸']
么,丿,5856.5728,"['丿', '乀', '乁']"
嗤,口,1.0321,"['囗', '口']"
引,弓,186.4,['弓']
弥,弓,30.5975,['弓']
扫,扌,94.6864,"['扌', '手']"
非,非,504.3506,['非']
旱,日,6.1136,['日']
暮,日,11.1012,['日']
随,阝,371.1901,"['邑', '阜', '阝']"
乳,乙,47.9358,"['乙', '乚', '乛']"
猜,犭,247.3086,"['犬', '犭']"
抢,扌,241.4173,"['扌', '手']"
忌,心,51.5309,"['心', '忄']"
欠,欠,48.8494,['欠']
升,十,487.5012,['十']
蚕,虫,3.0765,['虫']
旗,方,51.6593,['方']
